transaction_count,transaction_date,transaction_dow,transaction_year,transaction_month,transaction_quarter,transaction_week,transaction_doy,transaction_daynum,transaction_age,doy_avg,dow_avg,week_avg,month_avg,qt_avg
3459146,2013-04-21,7,2013,4,2,16,111,20,20 days,9753005.500000000000,17050789.786666666667,8244812.727272727273,8684675.636363636364,9687568.742424242424
2605354,2013-04-22,1,2013,4,2,17,112,21,21 days,7832571.500000000000,17280507.095890410959,8187678.600000000000,8684675.636363636364,9687568.742424242424
2680164,2013-04-23,2,2013,4,2,17,113,22,22 days,7904143.000000000000,16805801.611111111111,8187678.600000000000,8684675.636363636364,9687568.742424242424
2694124,2013-04-25,4,2013,4,2,17,115,24,24 days,7940039.000000000000,17245438.069444444444,8187678.600000000000,8684675.636363636364,9687568.742424242424
2720571,2013-04-26,5,2013,4,2,17,116,25,25 days,8193088.000000000000,17438844.183098591549,8187678.600000000000,8684675.636363636364,9687568.742424242424
2090238,2013-04-28,7,2013,4,2,17,118,27,27 days,6604654.500000000000,17050789.786666666667,8187678.600000000000,8684675.636363636364,9687568.742424242424
3501876,2013-05-01,3,2013,5,2,18,121,30,1 mon,9815446.000000000000,16523304.380281690141,9687349.222222222222,9571418.363636363636,9687568.742424242424
3027140,2013-05-02,4,2013,5,2,18,122,31,1 mon 1 day,8864789.000000000000,17245438.069444444444,9687349.222222222222,9571418.363636363636,9687568.742424242424
3511585,2013-05-03,5,2013,5,2,18,123,32,1 mon 2 days,9531810.500000000000,17438844.183098591549,9687349.222222222222,9571418.363636363636,9687568.742424242424
3809256,2013-05-04,6,2013,5,2,18,124,33,1 mon 3 days,9821490.500000000000,16582741.000000000000,9687349.222222222222,9571418.363636363636,9687568.742424242424
5184687,2013-05-06,1,2013,5,2,19,126,35,1 mon 5 days,12781429.000000000000,17280507.095890410959,9663925.272727272727,9571418.363636363636,9687568.742424242424
3238996,2013-05-07,2,2013,5,2,19,127,36,1 mon 6 days,9106870.500000000000,16805801.611111111111,9663925.272727272727,9571418.363636363636,9687568.742424242424
3120762,2013-05-08,3,2013,5,2,19,128,37,1 mon 7 days,8989066.500000000000,16523304.380281690141,9663925.272727272727,9571418.363636363636,9687568.742424242424
4468610,2013-05-09,4,2013,5,2,19,129,38,1 mon 8 days,11394116.000000000000,17245438.069444444444,9663925.272727272727,9571418.363636363636,9687568.742424242424
3292718,2013-05-10,5,2013,5,2,19,130,39,1 mon 9 days,9116550.000000000000,17438844.183098591549,9663925.272727272727,9571418.363636363636,9687568.742424242424
3527114,2013-05-12,7,2013,5,2,19,132,41,1 mon 11 days,9978319.500000000000,17050789.786666666667,9663925.272727272727,9571418.363636363636,9687568.742424242424
3292842,2013-05-13,1,2013,5,2,20,133,42,1 mon 12 days,9097578.500000000000,17280507.095890410959,9514889.800000000000,9571418.363636363636,9687568.742424242424
3060329,2013-05-15,3,2013,5,2,20,135,44,1 mon 14 days,8368151.500000000000,16523304.380281690141,9514889.800000000000,9571418.363636363636,9687568.742424242424
4121733,2013-05-16,4,2013,5,2,20,136,45,1 mon 15 days,10840735.500000000000,17245438.069444444444,9514889.800000000000,9571418.363636363636,9687568.742424242424
3153713,2013-05-18,6,2013,5,2,20,138,47,1 mon 17 days,8887167.000000000000,16582741.000000000000,9514889.800000000000,9571418.363636363636,9687568.742424242424
4332108,2013-05-19,7,2013,5,2,20,139,48,1 mon 18 days,11120541.500000000000,17050789.786666666667,9514889.800000000000,9571418.363636363636,9687568.742424242424
3089655,2013-05-20,1,2013,5,2,21,140,49,1 mon 19 days,8971327.500000000000,17280507.095890410959,9460888.333333333333,9571418.363636363636,9687568.742424242424
4175719,2013-05-21,2,2013,5,2,21,141,50,1 mon 20 days,10805712.000000000000,16805801.611111111111,9460888.333333333333,9571418.363636363636,9687568.742424242424
3050674,2013-05-22,3,2013,5,2,21,142,51,1 mon 21 days,8659719.500000000000,16523304.380281690141,9460888.333333333333,9571418.363636363636,9687568.742424242424
3165936,2013-05-23,4,2013,5,2,21,143,52,1 mon 22 days,8847895.000000000000,17245438.069444444444,9460888.333333333333,9571418.363636363636,9687568.742424242424
3223163,2013-05-25,6,2013,5,2,21,145,54,1 mon 24 days,8896080.000000000000,16582741.000000000000,9460888.333333333333,9571418.363636363636,9687568.742424242424
3260217,2013-05-26,7,2013,5,2,21,146,55,1 mon 25 days,9162613.500000000000,17050789.786666666667,9460888.333333333333,9571418.363636363636,9687568.742424242424
2522676,2013-05-28,2,2013,5,2,22,148,57,1 mon 27 days,7513795.000000000000,16805801.611111111111,9280393.000000000000,9571418.363636363636,9687568.742424242424
4156566,2013-06-01,6,2013,6,2,22,152,61,2 mons,11022258.500000000000,16582741.000000000000,9280393.000000000000,10806612.227272727273,9687568.742424242424
3545241,2013-06-02,7,2013,6,2,22,153,62,2 mons 1 day,9985077.000000000000,17050789.786666666667,9280393.000000000000,10806612.227272727273,9687568.742424242424
4155766,2013-06-03,1,2013,6,2,23,154,63,2 mons 2 days,10604783.500000000000,17280507.095890410959,11046695.750000000000,10806612.227272727273,9687568.742424242424
4423086,2013-06-04,2,2013,6,2,23,155,64,2 mons 3 days,10708620.000000000000,16805801.611111111111,11046695.750000000000,10806612.227272727273,9687568.742424242424
5874059,2013-06-06,4,2013,6,2,23,157,66,2 mons 5 days,13896215.500000000000,17245438.069444444444,11046695.750000000000,10806612.227272727273,9687568.742424242424
3741449,2013-06-07,5,2013,6,2,23,158,67,2 mons 6 days,10166849.500000000000,17438844.183098591549,11046695.750000000000,10806612.227272727273,9687568.742424242424
3679842,2013-06-08,6,2013,6,2,23,159,68,2 mons 7 days,10102994.500000000000,16582741.000000000000,11046695.750000000000,10806612.227272727273,9687568.742424242424
5176510,2013-06-09,7,2013,6,2,23,160,69,2 mons 8 days,12488037.000000000000,17050789.786666666667,11046695.750000000000,10806612.227272727273,9687568.742424242424
3802286,2013-06-10,1,2013,6,2,24,161,70,2 mons 9 days,10220307.000000000000,17280507.095890410959,10752088.200000000000,10806612.227272727273,9687568.742424242424
4124598,2013-06-12,3,2013,6,2,24,163,72,2 mons 11 days,11198678.500000000000,16523304.380281690141,10752088.200000000000,10806612.227272727273,9687568.742424242424
3870016,2013-06-13,4,2013,6,2,24,164,73,2 mons 12 days,10378435.000000000000,17245438.069444444444,10752088.200000000000,10806612.227272727273,9687568.742424242424
3700967,2013-06-15,6,2013,6,2,24,166,75,2 mons 14 days,9552460.000000000000,16582741.000000000000,10752088.200000000000,10806612.227272727273,9687568.742424242424
5021557,2013-06-16,7,2013,6,2,24,167,76,2 mons 15 days,12153498.000000000000,17050789.786666666667,10752088.200000000000,10806612.227272727273,9687568.742424242424
3819561,2013-06-18,2,2013,6,2,25,169,78,2 mons 17 days,10089851.500000000000,16805801.611111111111,11086389.333333333333,10806612.227272727273,9687568.742424242424
